Device,VRF,Interface,Status,IP_Address
n9k02-leaf-sjc31,default,Lo0,up,10.166.155.12
n9k02-leaf-sjc31,default,Lo1,up,10.166.155.52
n9k02-leaf-sjc31,default,Eth1/49,up,10.166.156.8
n9k02-leaf-sjc31,default,Eth1/50,up,10.166.156.12
n9k02-leaf-sjc31,default,Eth1/55,up,10.166.156.10
n9k02-leaf-sjc31,default,Eth1/56,up,10.166.156.14
n9k02-leaf-sjc31,management,mgmt0,up,10.166.80.38
n9k02-leaf-sjc31,ENG,Vlan93,up
n9k01-leaf-sjc31,default,Lo0,up,10.166.155.11
n9k01-leaf-sjc31,default,Lo1,up,10.166.155.51
n9k01-leaf-sjc31,default,Eth1/49,up,10.166.156.0
n9k01-leaf-sjc31,default,Eth1/50,up,10.166.156.4
n9k01-leaf-sjc31,default,Eth1/55,up,10.166.156.2
n9k01-leaf-sjc31,default,Eth1/56,up,10.166.156.6
n9k01-leaf-sjc31,management,mgmt0,up,10.166.80.37
n9k01-leaf-sjc31,ENG,Vlan93,up
n9k04-leaf-sjc31,default,Lo0,up,10.166.155.14
n9k04-leaf-sjc31,default,Lo1,up,10.166.155.54
n9k04-leaf-sjc31,default,Eth1/49,up,10.166.156.24
n9k04-leaf-sjc31,default,Eth1/50,up,10.166.156.28
n9k04-leaf-sjc31,default,Eth1/55,up,10.166.156.26
n9k04-leaf-sjc31,default,Eth1/56,up,10.166.156.30
n9k04-leaf-sjc31,management,mgmt0,up,10.166.80.40
n9k04-leaf-sjc31,ENG,Vlan93,up
n9k03-leaf-sjc31,default,Lo0,up,10.166.155.13
n9k03-leaf-sjc31,default,Lo1,up,10.166.155.53
n9k03-leaf-sjc31,default,Eth1/49,up,10.166.156.16
n9k03-leaf-sjc31,default,Eth1/50,down,10.166.156.20
n9k03-leaf-sjc31,default,Eth1/55,up,10.166.156.18
n9k03-leaf-sjc31,default,Eth1/56,up,10.166.156.22
n9k03-leaf-sjc31,management,mgmt0,up,10.166.80.39
n9k03-leaf-sjc31,ENG,Vlan93,up
