Device,VLAN,Name
n9k07-leaf-sjc05,1,default
n9k07-leaf-sjc05,97,L3VNI-VOICE
n9k07-leaf-sjc05,98,L3VNI-INTERNET
n9k07-leaf-sjc05,99,L3VNI
n9k07-leaf-sjc05,1000,sjc05-sap-prod-network-lan
n9k07-leaf-sjc05,1001,sjc05-sap-prod-oracle-heartbeat
n9k07-leaf-sjc05,1002,VLAN1002
n9k07-leaf-sjc05,1003,VLAN1003
n9k07-leaf-sjc05,1004,VLAN1004
n9k07-leaf-sjc05,1005,sjc05-sap-esxi-mgmt
n9k07-leaf-sjc05,1006,sjc05-sap-vm-ft-vlan
n9k07-leaf-sjc05,1007,sjc05-sap-vmotion
n9k07-leaf-sjc05,1008,sjc05-sap-storage-replication
n9k07-leaf-sjc05,1009,sjc05-sap-storage-nfs
n9k07-leaf-sjc05,1010,sjc05-skype_for_business_prod
n9k07-leaf-sjc05,1011,sjc05-skype_for_business
n9k07-leaf-sjc05,1012,sjc05-vsanprod1
n9k07-leaf-sjc05,1013,sjc05-vsanprod1_
n9k07-leaf-sjc05,1014,sjc05-vsan-isilon-splunk
n9k07-leaf-sjc05,1015,sjc05-splunk-esxi-vmotion
n9k07-leaf-sjc05,1016,sjc05-ATD-appliance
n9k07-leaf-sjc05,1017,sjc05-splunk-esxi-vxlan-trans
n9k07-leaf-sjc05,1018,sjc05-isi-bigdata
n9k07-leaf-sjc05,1019,sjc05-isi-bigdata-2
n9k07-leaf-sjc05,1020,sjc05-prod-backup-traffic
n9k07-leaf-sjc05,1021,sjc05-vsan-prod01-l2-vsandata
n9k07-leaf-sjc05,1022,sjc05-vsan-prod01-vmdata
n9k07-leaf-sjc05,1023,sjc05_monitoring_tools
n9k07-leaf-sjc05,1024,sc2-VSAN-L2
n9k07-leaf-sjc05,1025,skype-SBC-Private-Heartbeat
n9k07-leaf-sjc05,1026,sjc05-Wlan-Mgmt
n9k07-leaf-sjc05,1028,sjc05-netinfra01
n9k07-leaf-sjc05,1029,sjc05-sfb-vsan_l2
n9k07-leaf-sjc05,1030,sjc05-sfb-hearbeat_l2
n9k07-leaf-sjc05,1031,sjc05-security-infra01
n9k07-leaf-sjc05,1032,sjc05-sc2-vsan-stage3
n9k07-leaf-sjc05,1033,sjc05-sc2-vsan-stage3_l2
n9k07-leaf-sjc05,1034,sjc05-hadoop-01/02-cluster
n9k07-leaf-sjc05,1035,sjc05-vsan-stage2-skype-A
n9k07-leaf-sjc05,1036,sjc05-vsan-stage2-skype-B
n9k07-leaf-sjc05,1037,sjc05-HCX-VXLAN-Transport
n9k07-leaf-sjc05,1038,sjc05-security-infra02
